denominazione_regione	hs	ic	th	hi	tcp	ncp	dh	d	tc	sw	casi_testati
Basilicata	50	17	67	208	275	6	13	15	303	3474	
Basilicata	59	15	74	205	279	5	14	15	308	3696	
Basilicata	60	12	72	209	281	4	14	17	312	4050	
Basilicata	61	12	73	204	277	3	20	18	315	4355	
Basilicata	64	12	76	194	270	4	31	18	319	4545	
Basilicata	62	12	74	191	265	0	35	19	319	4759	
Basilicata	60	12	72	189	261	1	38	21	320	5037	
Basilicata	60	9	69	204	273	16	41	22	336	5349	
Basilicata	59	9	68	198	266	1	49	22	337	5710	
Basilicata	60	8	68	194	262	2	54	23	339	6056	
Basilicata	59	8	67	180	247	3	71	24	342	6528	6528
Basilicata	59	7	66	176	242	0	76	24	342	6868	6868
Basilicata	64	7	71	174	245	8	81	24	350	7470	7470
Basilicata	65	7	72	160	232	4	98	24	354	8040	8040
Basilicata	61	7	68	161	229	2	103	24	356	8511	8511
Basilicata	59	7	66	163	229	4	107	24	360	9026	9026
Basilicata	58	7	65	153	218	1	118	25	361	9792	9792
Basilicata	57	7	64	155	219	5	122	25	366	10077	10077
Bolzano	0	0	0	0	0	0	0	0	0	1	
Bolzano	1	0	1	0	1	1	0	0	1	1	
Bolzano	1	0	1	0	1	0	0	0	1	1	
Bolzano	1	0	1	0	1	0	0	0	1	2	
Bolzano	1	0	1	0	1	0	0	0	1	2	
Bolzano	1	0	1	0	1	0	0	0	1	16	
Bolzano	1	0	1	0	1	0	0	0	1	20	
Bolzano	1	0	1	0	1	0	0	0	1	20	
Bolzano	1	0	1	0	1	0	0	0	1	20	
Bolzano	1	0	1	0	1	0	0	0	1	20	
Bolzano	1	0	1	0	1	0	0	0	1	20	
Bolzano	4	0	4	0	4	3	0	0	4	36	
Bolzano	8	0	8	1	9	5	0	0	9	36	
Bolzano	8	0	8	1	9	0	0	0	9	36	
Bolzano	8	0	8	1	9	0	0	0	9	36	
Bolzano	17	1	18	20	38	29	0	0	38	36	
Bolzano	8	4	12	63	75	37	0	0	75	75	
Bolzano	21	4	25	78	103	29	0	1	104	607	
Bolzano	20	5	25	98	123	21	0	2	125	811	
Bolzano	26	7	33	137	170	48	0	3	173	1135	
Bolzano	50	4	54	145	199	31	0	5	204	1497	
Bolzano	53	11	64	171	235	37	0	6	241	1740	
Bolzano	71	11	82	200	282	50	1	8	291	2149	
Bolzano	79	18	97	269	366	85	1	9	376	2844	
Bolzano	87	18	105	316	421	60	1	14	436	3568	
Bolzano	99	24	123	407	530	112	1	17	548	4433	
Bolzano	127	30	157	443	600	73	1	20	621	5179	
