denominazione_regione	hs	ic	th	hi	tcp	ncp	dh	d	tc	sw	casi_testati
Lazio	1079	154	1233	1264	2497	208	267	150	2914	32846	
Lazio	1127	173	1300	1342	2642	181	291	162	3095	34677	
Lazio	1131	177	1308	1450	2758	169	337	169	3264	35810	
Lazio	1169	181	1350	1529	2879	169	369	185	3433	41575	
Lazio	1194	188	1382	1627	3009	167	392	199	3600	43776	
Lazio	1236	193	1429	1677	3106	157	439	212	3757	44624	
Lazio	1235	197	1432	1754	3186	123	475	219	3880	44658	
Lazio	1235	197	1432	1868	3300	151	502	229	4031	47470	
Lazio	1229	192	1421	1944	3365	118	546	238	4149	48874	
Lazio	1241	196	1437	2011	3448	117	574	244	4266	55113	
Lazio	1244	198	1442	2090	3532	163	644	253	4429	58107	
Lazio	1236	201	1437	2196	3633	154	687	263	4583	61769	
Lazio	1264	203	1467	2263	3730	140	720	273	4723	65241	
Lazio	1268	201	1469	2348	3817	122	749	279	4845	68954	
Lazio	1314	200	1514	2406	3920	123	764	284	4968	72746	
Lazio	1344	199	1543	2479	4022	143	789	300	5111	74650	
Lazio	1342	196	1538	2509	4047	121	874	311	5232	75584	
Lazio	1347	197	1544	2600	4144	148	920	316	5380	81993	
Lazio	1332	187	1519	2695	4214	144	978	332	5524	84755	
Lazio	1376	186	1562	2720	4282	144	1046	340	5668	89553	
Lazio	1370	185	1555	2766	4321	87	1093	341	5755	91807	22702
Lazio	1388	185	1573	2792	4365	60	1101	349	5815	97823	23067
Lazio	1380	184	1564	2838	4402	80	1130	363	5895	100031	24046
Lazio	1384	187	1571	2892	4463	80	1142	370	5975	104062	25244
Lazio	1385	186	1571	2915	4486	79	1193	375	6054	111073	26298
Lazio	1396	184	1580	2912	4492	78	1256	384	6132	114317	86545
Lazio	1421	183	1604	2957	4561	92	1276	387	6224	118354	90582
Lazio	1442	161	1603	2970	4573	85	1347	389	6309	121677	93811
Liguria	0	0	0	0	0	0	0	0	0	1	
Liguria	1	0	1	0	1	1	0	0	1	39	
Liguria	6	0	6	5	11	10	0	0	11	66	
Liguria	9	0	9	10	19	8	0	0	19	78	
Liguria	9	0	9	10	19	0	0	0	19	112	
Liguria	4	1	5	33	38	23	4	0	42	121	
Liguria	12	1	13	8	21	-17	4	0	25	121	
Liguria	12	1	13	5	18	-3	4	0	22	121	
Liguria	12	2	14	5	19	2	4	1	24	121	
Liguria	10	3	13	8	21	2	4	1	26	133	
Liguria	11	3	14	7	21	2	4	3	28	146	
Liguria	12	5	17	7	24	4	5	3	32	229	
Liguria	26	6	32	10	42	19	5	4	51	331	
Liguria	39	11	50	17	67	27	5	6	78	401	
Liguria	60	17	77	20	97	31	5	7	109	611	
Liguria	57	29	86	42	128	32	5	8	141	694	
Liguria	74	34	108	73	181	53	5	8	194	1025	
Liguria	100	36	136	107	243	80	20	11	274	1174	
Liguria	128	44	172	132	304	71	24	17	345	1442	
Liguria	213	62	275	109	384	118	52	27	463	1750	
Liguria	253	66	319	174	493	96	33	33	559	1973	
Liguria	255	73	328	247	575	108	42	50	667	2189	
Liguria	299	85	384	277	661	111	57	60	778	2509	
Liguria	401	100	501	243	744	109	70	73	887	2912	
Liguria	491	112	603	280	883	172	85	91	1059	3348	
Liguria	573	121	694	307	1001	162	101	119	1221	3794	
Liguria	598	129	727	432	1159	215	125	152	1436	4304	
Liguria	736	132	868	483	1351	229	143	171	1665	4995	
Liguria	761	133	894	659	1553	259	159	212	1924	5538	
Liguria	803	147	950	742	1692	192	193	231	2116	5992	
Liguria	927	147	1074	752	1826	189	225	254	2305	6602	
Liguria	998	154	1152	875	2027	262	260	280	2567	7304	
Liguria	1023	157	1180	880	2060	129	305	331	2696	7804	
Liguria	1031	167	1198	888	2086	126	378	358	2822	8177	
Liguria	1077	166	1243	1036	2279	254	420	377	3076	9100	
Liguria	1142	175	1317	1066	2383	141	437	397	3217	9677	
Liguria	1153	179	1332	1176	2508	199	480	428	3416	10376	
Liguria	1114	179	1293	1352	2645	244	555	460	3660	11334	
Liguria	1120	172	1292	1368	2660	122	634	488	3782	12069	
Liguria	1147	173	1320	1426	2746	183	700	519	3965	12934	
Liguria	1121	169	1290	1604	2894	238	767	542	4203	14087	
Liguria	1126	165	1291	1802	3093	246	800	556	4449	15047	
Liguria	1141	162	1303	1814	3117	100	837	595	4549	15533	
Liguria	1090	156	1246	1966	3212	208	925	620	4757	16579	
Liguria	1109	153	1262	1983	3245	149	1007	654	4906	17521	
Liguria	1103	154	1257	1996	3253	114	1085	682	5020	18446	
Liguria	1076	151	1227	2074	3301	171	1181	709	5191	19514	
Liguria	1003	146	1149	2184	3333	185	1309	734	5376	20888	
Liguria	1032	144	1176	2157	3333	118	1412	749	5494	21983	
Liguria	1088	138	1226	2139	3365	102	1471	760	5596	23129	
Liguria	967	133	1100	2366	3466	212	1549	793	5808	24446	
Liguria	959	120	1079	2385	3464	128	1665	807	5936	25793	
Liguria	957	103	1060	2377	3437	103	1774	828	6039	26945	
Liguria	897	105	1002	2457	3459	149	1863	866	6188	28181	
Liguria	901	105	1006	2406	3412	113	1992	897	6301	29322	
Liguria	885	101	986	2504	3490	227	2110	928	6528	31551	21103
Liguria	878	102	980	2516	3496	141	2216	957	6669	33007	21979
Liguria	914	94	1008	2455	3463	95	2311	990	6764	34186	22670
Liguria	860	92	952	2524	3476	154	2420	1022	6918	35990	23756
Liguria	783	91	874	2592	3466	131	2536	1047	7049	37842	25045
Liguria	760	87	847	2590	3437	124	2660	1076	7173	39563	26040
Liguria	759	83	842	2591	3433	128	2775	1093	7301	41125	26898
Liguria	748	82	830	2650	3480	187	2894	1114	7488	42607	27852
Lombardia	76	19	95	71	166	166	0	6	172	1463	
Lombardia	79	25	104	127	231	68	0	9	240	3700	
Lombardia	79	25	104	145	249	18	0	9	258	3208	
Lombardia	172	41	213	136	349	145	40	14	403	3320	
Lombardia	235	47	282	192	474	128	40	17	531	4835	
Lombardia	256	80	336	216	552	84	40	23	615	5723	
Lombardia	406	106	512	375	887	369	73	24	984	6879	
Lombardia	478	127	605	472	1077	270	139	38	1254	7925	
Lombardia	698	167	865	461	1326	266	139	55	1520	9577	
Lombardia	877	209	1086	411	1497	300	250	73	1820	12138	
Lombardia	1169	244	1413	364	1777	431	376	98	2251	12354	
Lombardia	1622	309	1931	77	2008	361	469	135	2612	13556	
Lombardia	1661	359	2020	722	2742	808	524	154	3420	15778	
Lombardia	2217	399	2616	756	3372	769	550	267	4189	18534	
Lombardia	2802	440	3242	1248	4490	1280	646	333	5469	20135	
Lombardia	3319	466	3785	642	4427	322	896	468	5791	21479	
Lombardia	3852	560	4412	1351	5763	1489	900	617	7280	25629	
Lombardia	4247	605	4852	2044	6896	1445	1085	744	8725	29534	
Lombardia	4435	650	5085	2647	7732	1095	1198	890	9820	32700	
Lombardia	4898	732	5630	3429	9059	1865	1660	966	11685	37138	
Lombardia	5500	767	6267	3776	10043	1587	2011	1218	13272	40369	
Lombardia	6171	823	6994	3867	10861	1377	2368	1420	14649	43565	
Lombardia	6953	879	7832	4263	12095	1571	2485	1640	16220	46449	
Lombardia	7285	924	8209	4057	12266	1493	3488	1959	17713	48983	
Lombardia	7387	1006	8393	5545	13938	2171	3778	2168	19884	52244	
Lombardia	7735	1050	8785	6635	15420	2380	4295	2549	22264	57174	
Lombardia	8258	1093	9351	8019	17370	3251	5050	3095	25515	66730	
Lombardia	9439	1142	10581	7304	17885	1691	5865	3456	27206	70598	
Lombardia	9266	1183	10449	8461	18910	1555	6075	3776	28761	73242	
Lombardia	9711	1194	10905	8963	19868	1942	6657	4178	30703	76695	
Lombardia	10026	1236	11262	9329	20591	1643	7281	4474	32346	81666	
Lombardia	10681	1263	11944	10245	22189	2543	7839	4861	34889	87713	
Lombardia	11137	1292	12429	11466	23895	2409	8001	5402	37298	95860	
Lombardia	11152	1319	12471	12038	24509	2117	8962	5944	39415	102503	
Lombardia	11613	1328	12941	12451	25392	1592	9255	6360	41007	107398	
Lombardia	11815	1330	13145	11861	25006	1154	10337	6818	42161	111057	
Lombardia	11883	1324	13207	11917	25124	1047	10885	7199	43208	114640	
Lombardia	11927	1342	13269	12496	25765	1565	11415	7593	44773	121449	
Lombardia	11762	1351	13113	12763	25876	1292	12229	7960	46065	128286	
Lombardia	11802	1381	13183	13006	26189	1455	13020	8311	47520	135051	
Lombardia	12002	1326	13328	13892	27220	1598	13242	8656	49118	141877	
Lombardia	12009	1317	13326	14798	28124	1337	13426	8905	50455	149984	
Lombardia	11914	1343	13257	15212	28469	1079	13863	9202	51534	154989	
Lombardia	11833	1305	13138	15205	28343	791	14498	9484	52325	159331	
Lombardia	11719	1257	12976	15569	28545	1089	15147	9722	53414	167557	
Lombardia	11796	1236	13032	16042	29074	1388	15706	10022	54802	176953	
Lombardia	11877	1202	13079	16451	29530	1246	16280	10238	56048	186325	
Lombardia	12026	1174	13200	17058	30258	1544	16823	10511	57592	196302	
Lombardia	11969	1176	13145	18120	31265	1460	17166	10621	59052	205832	
Lombardia	12028	1143	13171	18764	31935	1262	17478	10901	60314	211092	
Lombardia	12077	1122	13199	19164	32363	1012	17821	11142	61326	214870	
Lombardia	12043	1074	13117	19804	32921	827	17855	11377	62153	221968	
Lombardia	11356	1032	12388	20702	33090	941	18396	11608	63094	232674	
Lombardia	10627	971	11598	21836	33434	1041	18850	11851	64135	243513	
Lombardia	10042	947	10989	23206	34195	1246	19136	12050	65381	255331	
Lombardia	10342	922	11264	23233	34497	855	19526	12213	66236	264155	183757
Lombardia	10138	901	11039	23548	34587	735	20008	12376	66971	270486	173333
Lombardia	9805	851	10656	23322	33978	960	21374	12579	67931	277197	173333
Lombardia	9692	817	10509	23733	34242	1161	22110	12740	69092	290699	184323
Lombardia	9192	790	9982	23891	33873	1073	23352	12940	70165	302715	190451
Lombardia	8791	756	9547	24821	34368	1091	23782	13106	71256	314298	196406
Lombardia	8489	724	9213	25260	34473	713	24227	13269	71969	326940	202827
Lombardia	8481	706	9187	25979	35166	920	24398	13325	72889	337797	208471
Marche	0	0	0	0	0	0	0	0	0	16	
Marche	0	0	0	0	0	0	0	0	0	21	
Marche	1	0	1	0	1	1	0	0	1	28	
Marche	2	1	3	0	3	2	0	0	3	46	
Marche	3	2	5	1	6	3	0	0	6	47	
Marche	6	2	8	3	11	5	0	0	11	68	
Marche	12	5	17	8	25	14	0	0	25	101	
Marche	17	6	23	11	34	10	0	1	35	137	
Marche	27	13	40	19	59	26	0	2	61	200	
Marche	34	15	49	31	80	23	0	4	84	288	
Marche	57	19	76	44	120	40	0	4	124	413	
Marche	73	20	93	62	155	35	0	4	159	585	
Marche	94	36	130	71	201	48	0	6	207	816	
Marche	110	41	151	114	265	65	0	7	272	1025	
Marche	136	47	183	130	313	51	0	10	323	1250	
Marche	152	54	206	175	381	71	0	13	394	1437	
Marche	212	66	278	183	461	85	0	18	479	1656	
Marche	254	76	330	240	570	113	0	22	592	1907	
Marche	337	85	422	276	698	133	0	27	725	2218	
Marche	449	93	542	321	863	174	0	36	899	2561	
Marche	521	98	619	468	1087	234	0	46	1133	2946	
Marche	528	110	638	547	1185	109	0	57	1242	3225	
Marche	599	109	708	594	1302	129	0	69	1371	3225	
Marche	638	119	757	719	1476	197	0	92	1568	4109	
Marche	656	141	797	825	1622	169	0	115	1737	4512	
Marche	704	138	842	1002	1844	244	0	137	1981	5170	
Marche	742	141	883	1114	1997	172	2	154	2153	5740	
Marche	816	138	954	1277	2231	268	6	184	2421	6391	
Marche	882	148	1030	1328	2358	148	8	203	2569	6782	
Marche	862	149	1011	1486	2497	167	8	231	2736	7229	
Marche	938	148	1086	1553	2639	198	8	287	2934	7896	
Marche	977	166	1143	1652	2795	180	9	310	3114	8623	
Marche	979	162	1141	1709	2850	82	10	336	3196	9060	
Marche	987	166	1153	1846	2999	177	10	364	3373	9884	
Marche	1000	168	1168	1992	3160	185	12	386	3558	10431	
Marche	998	167	1165	2086	3251	126	16	417	3684	10979	
Marche	946	169	1115	2237	3352	141	21	452	3825	11724	
Marche	984	168	1152	2304	3456	137	29	477	3962	12296	
Marche	986	164	1150	2405	3555	136	40	503	4098	12943	
Marche	982	158	1140	2491	3631	132	42	557	4230	13678	
Marche	997	153	1150	2347	3497	111	270	574	4341	14472	
Marche	987	151	1138	2440	3578	123	287	599	4464	15252	
Marche	1001	140	1141	2565	3706	150	296	612	4614	15919	
Marche	962	139	1101	2637	3738	96	342	630	4710	16619	
Marche	974	133	1107	2455	3562	149	645	652	4859	17532	
Marche	945	133	1078	2323	3401	96	885	669	4955	18194	
Marche	925	127	1052	2264	3316	129	1086	682	5084	18970	
Marche	960	118	1078	2153	3231	127	1291	689	5211	20060	
Marche	949	114	1063	2051	3114	92	1489	700	5303	21057	
Marche	959	108	1067	2013	3080	78	1588	713	5381	28379	
Marche	937	106	1043	2052	3095	45	1603	728	5426	29160	
Marche	888	106	994	2103	3097	77	1660	746	5503	30329	
Marche	850	102	952	2172	3124	79	1694	764	5582	33778	
Marche	839	94	933	2224	3157	86	1726	785	5668	37997	
Marche	804	88	892	2280	3172	53	1754	795	5721	39909	
Marche	799	86	885	2297	3182	48	1780	807	5769	41474	27099
Marche	792	80	872	2340	3212	57	1792	822	5826	42782	28006
Marche	784	78	862	2356	3218	51	1825	834	5877	44332	29090
Marche	735	76	811	2419	3230	47	1849	845	5924	46492	30543
Marche	727	71	798	2432	3230	28	1865	857	5952	47662	31673
Marche	705	61	766	2507	3273	76	1890	865	6028	49163	33113
Marche	689	58	747	2525	3272	30	1912	874	6058	50996	34256
Marche	668	58	726	2582	3308	53	1924	879	6111	52063	35107
Molise	0	0	0	0	0	0	0	0	0	0	
Molise	0	0	0	0	0	0	0	0	0	0	
Molise	0	0	0	0	0	0	0	0	0	0	
Molise	0	0	0	0	0	0	0	0	0	0	
Molise	0	0	0	0	0	0	0	0	0	0	
Molise	0	0	0	0	0	0	0	0	0	0	
Molise	0	0	0	0	0	0	0	0	0	6	
Molise	0	0	0	0	0	0	0	0	0	13	
Molise	3	0	3	0	3	3	0	0	3	13	
Molise	3	0	3	0	3	0	0	0	3	19	
Molise	4	0	4	3	7	4	0	0	7	24	
Molise	3	2	5	7	12	5	0	0	12	104	
Molise	3	2	5	9	14	2	0	0	14	112	
Molise	4	2	6	8	14	0	0	0	14	116	
Molise	4	2	6	8	14	0	0	0	14	212	
Molise	3	3	6	9	15	1	0	0	15	225	
Molise	4	3	7	9	16	1	0	0	16	233	
Molise	4	3	7	9	16	0	0	0	16	238	
Molise	5	3	8	9	17	1	0	0	17	243	
Molise	5	3	8	9	17	0	0	0	17	247	
Molise	3	4	7	10	17	0	0	0	17	248	
Molise	3	5	8	7	15	4	5	1	21	253	
Molise	7	5	12	7	19	4	5	1	25	301	
Molise	7	6	13	8	21	3	6	1	28	361	
Molise	19	6	25	13	38	18	6	2	46	426	
Molise	20	6	26	13	39	4	6	5	50	426	
Molise	21	6	27	20	47	11	7	7	61	449	
Molise	24	7	31	21	52	5	7	7	66	532	
Molise	25	7	32	18	50	1	10	7	67	532	
Molise	27	7	34	21	55	6	10	8	73	572	
Molise	26	7	33	20	53	0	12	8	73	580	
Molise	27	8	35	46	81	30	14	8	103	670	
Molise	26	9	35	51	86	6	14	9	109	710	
Molise	26	9	35	63	98	14	16	9	123	807	
Molise	25	9	34	66	100	4	18	9	127	918	
Molise	27	8	35	72	107	7	18	9	134	955	
Molise	29	8	37	80	117	10	18	9	144	1049	
Molise	32	8	40	91	131	16	19	10	160	1157	
Molise	30	8	38	95	133	5	21	11	165	1229	
Molise	31	8	39	105	144	11	21	11	176	1378	
Molise	31	6	37	134	171	30	24	11	206	1504	
Molise	33	6	39	148	187	18	24	13	224	1504	
Molise	34	5	39	148	187	0	24	13	224	1546	
Molise	35	5	40	145	185	0	26	13	224	1581	
Molise	30	4	34	147	181	2	32	13	226	2002	
Molise	30	4	34	155	189	8	32	13	234	2069	
Molise	28	4	32	161	193	9	37	13	243	2069	
Molise	28	4	32	161	193	3	39	14	246	2201	
Molise	27	4	31	171	202	11	40	15	257	2471	
Molise	28	4	32	170	202	0	40	15	257	2522	
Molise	26	4	30	170	200	0	42	15	257	2522	
Molise	27	4	31	175	206	6	42	15	263	2855	
Molise	25	4	29	174	203	0	44	16	263	2967	
Molise	26	4	30	178	208	6	45	16	269	3082	
Molise	27	4	31	178	209	0	44	16	269	3082	
Molise	27	4	31	184	215	10	47	17	279	3584	3482
Molise	27	2	29	184	213	2	50	18	281	3783	3683
Molise	27	2	29	184	213	1	51	18	282	4124	4015
Molise	21	2	23	182	205	2	60	19	284	4425	4252
Molise	19	1	20	178	198	0	66	20	284	4564	4478
Molise	19	1	20	180	200	3	67	20	287	4805	4718
Molise	19	1	20	178	198	5	73	21	292	5191	5089
Molise	20	1	21	179	200	4	75	21	296	5567	5334
Piemonte	2	0	2	1	3	3	0	0	3	141	
Piemonte	2	0	2	1	3	0	0	0	3	141	
Piemonte	2	0	2	1	3	0	0	0	3	156	
Piemonte	2	0	2	0	2	-1	0	0	2	156	
Piemonte	7	0	7	4	11	9	0	0	11	227	
Piemonte	7	0	7	4	11	0	0	0	11	308	
Piemonte	11	2	13	36	49	38	0	0	49	362	
Piemonte	12	2	14	37	51	2	0	0	51	434	
Piemonte	13	3	16	40	56	5	0	0	56	458	
Piemonte	26	13	39	43	82	26	0	0	82	543	
Piemonte	43	17	60	46	106	26	0	2	108	543	
Piemonte	57	30	87	52	139	35	0	4	143	793	
Piemonte	110	38	148	54	202	64	0	5	207	1046	
Piemonte	245	45	290	65	355	153	0	5	360	1636	
Piemonte	222	50	272	65	337	-10	0	13	350	1681	
Piemonte	306	66	372	64	436	103	0	17	453	2374	
Piemonte	319	75	394	86	480	48	0	21	501	2431	
Piemonte	368	97	465	89	554	79	0	26	580	2879	
Piemonte	556	135	691	103	794	260	0	46	840	3105	
Piemonte	538	150	688	126	814	33	0	59	873	3680	
Piemonte	726	171	897	133	1030	238	0	81	1111	4375	
Piemonte	1045	186	1231	174	1405	405	0	111	1516	5588	
Piemonte	1378	206	1584	180	1764	381	0	133	1897	6543	
Piemonte	1780	227	2007	180	2187	444	0	154	2341	7516	
Piemonte	2279	257	2536	218	2754	591	3	175	2932	8853	
Piemonte	1541	280	1821	1423	3244	529	8	209	3461	9975	
Piemonte	1976	301	2277	1229	3506	291	8	238	3752	10701	
Piemonte	2118	308	2426	1701	4127	668	10	283	4420	12701	
Piemonte	2194	343	2537	1992	4529	441	17	315	4861	13560	
Piemonte	2404	360	2764	2360	5124	654	17	374	5515	15469	
Piemonte	2544	381	2925	2631	5556	509	19	449	6024	16655	
Piemonte	2633	408	3041	2909	5950	510	135	449	6534	18054	
Piemonte	2852	431	3283	3064	6347	558	176	569	7092	19705	
Piemonte	3094	439	3533	3318	6851	579	203	617	7671	21511	
Piemonte	2985	443	3428	3840	7268	535	254	684	8206	24058	
Piemonte	2985	452	3437	4218	7655	506	308	749	8712	25478	
Piemonte	3174	452	3626	4456	8082	589	365	854	9301	27658	
Piemonte	3146	453	3599	4871	8470	494	439	886	9795	30060	
Piemonte	3341	453	3794	5005	8799	558	571	983	10353	32100	
Piemonte	3300	452	3752	5378	9130	543	723	1043	10896	34281	
Piemonte	3441	450	3891	5802	9693	813	888	1128	11709	37181	
Piemonte	3472	444	3916	6261	10177	653	1017	1168	12362	38539	
Piemonte	3484	438	3922	6623	10545	562	1128	1251	12924	41123	
Piemonte	3553	432	3985	6719	10704	419	1320	1319	13343	44121	
Piemonte	3493	423	3916	7073	10989	540	1516	1378	13883	48495	
Piemonte	3514	412	3926	7410	11336	639	1732	1454	14522	52807	
Piemonte	3497	394	3891	7685	11576	490	1904	1532	15012	57457	
Piemonte	3435	384	3819	8351	12170	996	2205	1633	16008	62577	
Piemonte	3429	381	3810	8695	12505	652	2426	1729	16660	66555	
Piemonte	3344	379	3723	9042	12765	474	2543	1826	17134	69170	
Piemonte	3395	367	3762	9293	13055	556	2708	1927	17690	71678	
Piemonte	3338	366	3704	9491	13195	539	3019	2015	18229	75664	
Piemonte	3418	346	3764	10019	13783	879	3231	2094	19108	80708	
Piemonte	3266	333	3599	10399	13998	695	3634	2171	19803	86714	
Piemonte	3271	323	3594	10629	14223	661	3989	2252	20464	91844	
Piemonte	3201	305	3506	10964	14470	593	4256	2331	21057	96569	71644
Piemonte	3299	301	3600	10957	14557	292	4383	2409	21349	99669	73192
Piemonte	3116	293	3409	11402	14811	606	4659	2485	21955	105434	76406
Piemonte	3213	273	3486	11636	15122	784	5058	2559	22739	111513	81176
Piemonte	3039	261	3300	11852	15152	401	5358	2630	23140	117970	84648
Piemonte	2918	257	3175	12216	15391	682	5732	2699	23822	125300	89392
Piemonte	2937	238	3175	12327	15502	604	6157	2767	24426	131107	93325
Piemonte	2866	214	3080	12439	15519	394	6478	2823	24820	135142	96977
Puglia	0	0	0	0	0	0	0	0	0	0	
Puglia	0	0	0	0	0	0	0	0	0	0	
Puglia	0	0	0	0	0	0	0	0	0	0	
Puglia	1	0	1	0	1	1	0	0	1	0	
Puglia	1	0	1	2	3	2	0	0	3	242	
Puglia	1	0	1	2	3	0	0	0	3	252	
Puglia	1	0	1	2	3	0	0	0	3	262	
Puglia	2	0	2	2	4	1	0	0	4	278	
Puglia	2	0	2	4	6	2	0	0	6	298	
Puglia	4	0	4	3	7	3	1	1	9	322	
Puglia	5	1	6	6	12	5	1	1	14	359	
Puglia	5	1	6	9	15	3	1	1	17	395	
Puglia	9	2	11	12	23	9	1	2	26	395	
Puglia	17	3	20	16	36	14	1	3	40	627	
Puglia	20	6	26	20	46	10	1	3	50	685	
Puglia	28	6	34	21	55	9	1	3	59	747	
Puglia	38	4	42	29	71	18	1	5	77	909	
Puglia	58	2	60	38	98	27	1	5	104	1269	
Puglia	77	2	79	42	121	25	3	5	129	1449	
Puglia	91	6	97	59	156	37	2	8	166	1681	
Puglia	116	6	122	90	212	64	2	16	230	2017	
Puglia	116	6	122	90	212	0	2	16	230	2017	
Puglia	155	14	169	151	320	110	2	18	340	3077	
Puglia	156	30	186	176	362	43	2	19	383	3433	
Puglia	173	31	204	245	449	95	4	25	478	4046	
Puglia	191	31	222	329	551	103	4	26	581	4789	
Puglia	209	33	242	400	642	94	4	29	675	5617	
Puglia	252	37	289	459	748	111	7	31	786	6160	
Puglia	285	45	330	532	862	120	7	37	906	6761	
Puglia	317	57	374	566	940	99	21	44	1005	7345	
Puglia	349	64	413	610	1023	88	22	48	1093	8223	
Puglia	480	76	556	539	1095	89	22	65	1182	9191	
Puglia	530	82	612	624	1236	152	29	69	1334	10233	
Puglia	563	98	661	697	1358	124	29	71	1458	11500	
Puglia	559	99	658	774	1432	91	31	86	1549	12361	
Puglia	590	106	696	889	1585	163	36	91	1712	13117	
Puglia	609	105	714	940	1654	91	39	110	1803	14073	
Puglia	637	107	744	1012	1756	143	61	129	1946	15209	
Puglia	645	118	763	1101	1864	131	69	144	2077	16554	
Puglia	648	123	771	1178	1949	105	69	164	2182	17924	
Puglia	627	153	780	1193	1973	58	94	173	2240	18977	
Puglia	574	159	733	1289	2022	77	113	182	2317	20080	
Puglia	625	97	722	1393	2115	127	134	195	2444	22059	
Puglia	615	93	708	1429	2137	70	168	209	2514	23149	
Puglia	639	90	729	1509	2238	120	177	219	2634	24493	
Puglia	630	86	716	1585	2301	82	190	225	2716	26088	
Puglia	631	80	711	1625	2336	93	235	238	2809	27812	
Puglia	627	73	700	1702	2402	95	249	253	2904	29463	
Puglia	609	71	680	1772	2452	85	277	260	2989	30973	
Puglia	600	71	671	1841	2512	76	286	267	3065	31922	
Puglia	611	62	673	1879	2552	53	288	278	3118	33071	
Puglia	592	73	665	1908	2573	66	323	288	3184	34518	
Puglia	603	58	661	1964	2625	74	334	299	3258	36158	
Puglia	590	62	652	2004	2656	69	364	307	3327	38278	
Puglia	594	60	654	2040	2694	82	401	314	3409	40423	
Puglia	590	60	650	2136	2786	120	427	316	3529	42598	41580
Puglia	584	66	650	2160	2810	38	431	326	3567	44189	43119
Puglia	569	65	634	2178	2812	55	459	351	3622	45984	44760
Puglia	564	60	624	2250	2874	108	494	362	3730	48342	46925
Puglia	536	55	591	2345	2936	109	531	372	3839	50410	49403
Puglia	496	51	547	2386	2933	42	565	383	3881	52472	51517
Puglia	469	48	517	2402	2919	31	602	391	3912	54628	53500
Puglia	464	48	512	2425	2937	36	612	399	3948	55992	55397
Sardegna	0	0	0	0	0	0	0	0	0	1	
Sardegna	0	0	0	0	0	0	0	0	0	1	
Sardegna	0	0	0	0	0	0	0	0	0	1	
Sardegna	0	0	0	0	0	0	0	0	0	1	
Sardegna	0	0	0	0	0	0	0	0	0	1	
Sardegna	0	0	0	0	0	0	0	0	0	1	
Sardegna	0	0	0	0	0	0	0	0	0	29	
Sardegna	0	0	0	0	0	0	0	0	0	29	
Sardegna	1	0	1	0	1	1	0	0	1	29	
Sardegna	1	0	1	1	2	1	0	0	2	42	
Sardegna	2	0	2	0	2	0	0	0	2	50	
Sardegna	2	0	2	3	5	3	0	0	5	99	
Sardegna	2	0	2	3	5	0	0	0	5	99	
Sardegna	5	0	5	6	11	6	0	0	11	149	
Sardegna	8	0	8	11	19	8	0	0	19	185	
Sardegna	9	0	9	11	20	1	0	0	20	204	
Sardegna	10	0	10	27	37	17	0	0	37	283	
Sardegna	12	0	12	27	39	2	0	0	39	302	
Sardegna	12	0	12	31	43	4	0	0	43	504	
Sardegna	14	0	14	33	47	4	0	0	47	530	
Sardegna	16	0	16	59	75	30	0	2	77	613	
Sardegna	39	0	39	66	105	30	0	2	107	797	
Sardegna	36	4	40	75	115	10	0	2	117	1003	
Sardegna	42	7	49	83	132	17	0	2	134	1135	
Sardegna	43	9	52	152	204	72	0	2	206	1334	
Sardegna	56	15	71	217	288	87	3	2	293	1912	
Sardegna	65	16	81	240	321	37	5	4	330	2297	
Sardegna	67	16	83	244	327	9	5	7	339	2402	
Sardegna	76	18	94	249	343	20	5	11	359	2568	
Sardegna	80	19	99	296	395	62	11	15	421	2859	
Sardegna	82	19	101	311	412	21	12	18	442	3019	
Sardegna	92	20	112	350	462	52	13	19	494	3461	
Sardegna	93	19	112	384	496	36	13	21	530	3801	
Sardegna	95	22	117	452	569	94	29	26	624	4225	
Sardegna	105	23	128	454	582	14	29	27	638	4598	
Sardegna	113	24	137	485	622	44	32	28	682	4993	
Sardegna	113	28	141	516	657	40	34	31	722	5257	
Sardegna	119	27	146	529	675	23	36	34	745	5501	
Sardegna	117	24	141	577	718	49	36	40	794	5970	
Sardegna	122	24	146	598	744	31	40	41	825	6478	
Sardegna	123	24	147	642	789	49	44	41	874	6789	
Sardegna	126	25	151	664	815	33	49	43	907	7157	
Sardegna	123	26	149	670	819	15	56	47	922	7521	
Sardegna	122	26	148	673	821	13	62	52	935	7680	
Sardegna	112	31	143	697	840	40	76	59	975	8493	
Sardegna	106	25	131	745	876	51	86	64	1026	8918	
Sardegna	107	26	133	743	876	37	118	69	1063	9444	
Sardegna	113	24	137	751	888	28	130	73	1091	10120	
Sardegna	109	26	135	768	903	22	137	73	1113	10663	
Sardegna	107	27	134	780	914	15	139	75	1128	11010	
Sardegna	107	24	131	769	900	10	158	80	1138	11893	
Sardegna	107	26	133	737	870	23	208	83	1161	12395	
Sardegna	109	24	133	732	865	3	214	85	1164	12796	
Sardegna	113	23	136	736	872	14	220	86	1178	13304	
Sardegna	112	23	135	746	881	20	231	86	1198	14087	
Sardegna	117	22	139	725	864	17	265	86	1215	14859	13760
Sardegna	115	21	136	718	854	13	288	86	1228	15328	14160
Sardegna	112	21	133	704	837	8	306	93	1236	15886	14526
Sardegna	97	20	117	716	833	11	318	96	1247	16886	15354
Sardegna	90	20	110	707	817	7	339	98	1254	17844	16094
