denominazione_regione	hs	ic	th	hi	tcp	ncp	dh	d	tc	sw
Lombardia	3826	391	4217	49152	53369	1491	499299	28103	580771	6382898
Lombardia	3917	408	4325	50390	54715	2480	500390	28146	583251	6418047
Lombardia	3946	406	4352	50873	55225	3310	503152	28184	586561	6468315
Lombardia	4024	407	4431	53397	57828	4243	504748	28228	590804	6519788
Lombardia	4034	416	4450	56817	61267	4557	505819	28275	595361	6566513
Lombardia	4062	435	4497	59217	63714	4191	507514	28324	599552	6612378
Lombardia	4118	426	4544	61797	66341	3529	508379	28361	603081	6649629
Lombardia	4224	441	4665	60337	65002	2135	511811	28403	605216	6670200
Lombardia	4408	476	4884	62806	67690	3762	512830	28458	608978	6712252
Lombardia	4545	506	5051	64285	69336	4590	515714	28518	613568	6767863
Lombardia	4735	532	5267	67127	72394	5174	517771	28577	618742	6821426
Lombardia	4804	543	5347	70781	76128	5210	519186	28638	623952	6878580
Lombardia	4934	565	5499	75155	80654	5658	520251	28705	629610	6937085
Lombardia	5058	573	5631	76577	82208	4397	523031	28738	633977	6979676
Lombardia	5200	597	5797	74332	80129	2301	527359	28790	636278	7002672
Lombardia	5416	611	6027	76316	82343	4084	529166	28853	640362	7050291
Lombardia	5584	617	6201	78866	85067	4422	530794	28923	644784	7105826
Lombardia	5718	645	6363	82305	88668	5849	532961	29004	650633	7168048
Lombardia	5909	667	6576	86149	92725	6262	535077	29093	656895	7229002
Lombardia	6068	694	6762	87731	94493	5809	539052	29159	662704	7288380
Lombardia	6077	714	6791	90696	97487	4334	540331	29220	667038	7333393
Lombardia	6198	728	6926	86237	93163	2185	546761	29299	669223	7354998
Lombardia	6474	765	7239	88537	95776	4235	548302	29380	673458	7404066
Lombardia	6641	781	7422	88343	95765	4490	552724	29459	677948	7463075
Lombardia	6744	786	7530	91539	99069	5641	554969	29551	683589	7526272
Lombardia	6796	788	7584	93320	100904	5518	558572	29631	689107	7591271
Lombardia	6891	791	7682	96769	104451	4810	559757	29709	693917	7647654
Lombardia	6926	806	7732	98043	105775	4003	562346	29799	697920	7693804
Lombardia	6952	822	7774	90789	98563	2105	571586	29876	700025	7715536
Lombardia	7165	836	8001	90255	98256	3643	575437	29975	703668	7762711
Lombardia	7178	845	8023	92149	100172	4282	577693	30085	707950	7822337
Lombardia	7132	845	7977	94101	102078	5046	580733	30185	712996	7882033
Lombardia	7111	848	7959	96696	104655	5077	583133	30285	718073	7942837
Lombardia	7124	852	7976	98651	106627	4884	585943	30387	722957	8004306
Lombardia	7069	868	7937	94754	102691	3520	593324	30462	726477	8047640
Lombardia	6994	870	7864	87941	95805	1793	601915	30550	728270	8068777
Lombardia	7109	862	7971	88551	96522	3271	604384	30635	731541	8113066
Lombardia	7033	863	7896	87959	95855	3943	608894	30735	735484	8169813
Lombardia	6823	860	7683	88351	96034	4483	613071	30862	739967	8228701
Lombardia	6703	857	7560	89096	96656	3941	616293	30959	743908	8286122
Lombardia	6660	862	7522	86603	94125	4132	622859	31056	748040	8344076
Lombardia	6622	864	7486	86478	93964	3003	625949	31130	751043	8385613
Lombardia	6626	858	7484	86947	94431	1358	626759	31211	752401	8402953
Lombardia	6643	845	7488	76211	83699	841	638279	31264	753242	8413420
Lombardia	6595	834	7429	74864	82293	2569	642145	31373	755811	8460138
Lombardia	6501	830	7331	74664	81995	2537	644850	31503	758348	8514418
Lombardia	6252	828	7080	74499	81579	3289	648463	31595	761637	8570894
Lombardia	6059	824	6883	72155	79038	2974	653897	31676	764611	8624027
Lombardia	5896	814	6710	72770	79480	2302	655680	31753	766913	8665330
Lombardia	5763	811	6574	66113	72687	997	663408	31815	767910	8684352
Lombardia	5727	787	6514	64827	71341	1975	666635	31909	769885	8722842
Lombardia	5589	781	6370	63694	70064	2153	669980	31994	772038	8773329
Lombardia	5387	739	6126	61792	67918	2722	674783	32059	774760	8825622
Lombardia	5131	728	5859	61536	67395	2431	677650	32146	777191	8872725
Lombardia	4901	723	5624	62177	67801	2546	679716	32220	779737	8922895
Lombardia	4716	722	5438	60939	66377	1782	682858	32284	781519	8957094
Lombardia	4623	708	5331	54201	59532	1040	690708	32319	782559	8975848
Lombardia	4639	675	5314	53005	58319	1670	693524	32386	784229	9022749
Lombardia	4522	667	5189	52601	57790	2095	696076	32458	786324	9072166
Lombardia	4352	653	5005	52742	57747	2509	698574	32512	788833	9124336
Lombardia	4185	644	4829	51620	56449	2304	702119	32569	791137	9171176
Lombardia	4050	611	4661	52432	57093	2313	703739	32618	793450	9221632
Lombardia	3886	610	4496	53126	57622	1967	705138	32657	795417	9260614
Lombardia	3824	601	4425	48539	52964	872	710637	32688	796289	9277607
Lombardia	3819	582	4401	48650	53051	1369	711865	32742	797658	9313405
Lombardia	3707	575	4282	47987	52269	2442	715042	32789	800100	9370398
Lombardia	3597	557	4154	47920	52074	2306	717503	32829	802406	9421651
Lombardia	3495	550	4045	48440	52485	2214	719265	32870	804620	9475296
Lombardia	3403	536	3939	47684	51623	2139	722214	32922	806759	9534440
Lombardia	3290	542	3832	48454	52286	1287	722815	32945	808046	9564689
Lombardia	3215	535	3750	44527	48277	637	727433	32973	808683	9579976
Lombardia	3263	525	3788	44395	48183	1354	728840	33014	810037	9619341
Lombardia	3188	519	3707	43581	47288	1557	731260	33046	811594	9669592
Lombardia	3072	513	3585	44467	48052	2151	732612	33081	813745	9724314
Lombardia	2968	491	3459	43647	47106	1759	735292	33106	815504	9775509
Lombardia	2850	490	3340	42214	45554	1584	738385	33149	817088	9828006
Lombardia	2726	492	3218	42506	45724	1326	739508	33182	818414	9867304
Lombardia	2668	479	3147	38554	41701	583	744091	33205	818997	9883527
Lombardia	2556	454	3010	37726	40736	788	745814	33235	819785	9917506
Lombardia	2441	448	2889	36982	39871	1198	747841	33271	820983	9968164
Lombardia	2351	417	2768	36776	39544	1396	749551	33284	822379	10017648
Lombardia	2251	411	2662	36027	38689	1160	751543	33307	823539	10061653
Lombardia	2159	390	2549	36177	38726	1154	752638	33329	824693	10110605
Lombardia	2053	382	2435	36079	38514	796	753628	33347	825489	10142990
Lombardia	2028	371	2399	35839	38238	675	754566	33360	826164	10163812
Lombardia	1992	353	2345	35468	37813	598	755558	33391	826762	10196842
Lombardia	1920	337	2257	34985	37242	936	757040	33416	827698	10245843
Lombardia	1755	316	2071	34312	36383	1003	758880	33438	828701	10289952
Lombardia	1662	308	1970	34251	36221	847	759878	33449	829548	10335010
Lombardia	1566	298	1864	33552	35416	828	761498	33462	830376	10382386
Lombardia	1480	294	1774	33847	35621	711	761995	33471	831087	10415363
Lombardia	1473	284	1757	33883	35640	249	762218	33478	831336	10428882
Lombardia	1453	272	1725	32853	34578	505	763768	33495	831841	10461328
Lombardia	1369	273	1642	31857	33499	666	765498	33510	832507	10503550
Lombardia	1299	260	1559	31181	32740	739	766955	33551	833246	10547940
Lombardia	1233	248	1481	31039	32520	661	767807	33580	833907	10593480
Lombardia	1131	243	1374	31001	32375	620	768559	33593	834527	10638368
Lombardia	1076	246	1322	30741	32063	458	769324	33598	834985	10666563
Lombardia	1051	234	1285	30212	31497	132	770009	33611	835117	10675224
Lombardia	1073	220	1293	29849	31142	461	770816	33620	835578	10710940
Lombardia	980	207	1187	20566	21753	519	780714	33630	836097	10751688
Lombardia	942	193	1135	20394	21529	277	781208	33637	836374	10766438
Lombardia	939	183	1122	20437	21559	417	781589	33643	836791	10801710
Lombardia	887	170	1057	20286	21343	436	782231	33653	837227	10841073
Lombardia	833	167	1000	19641	20641	359	783276	33669	837586	10868733
Lombardia	799	167	966	19595	20561	142	783492	33675	837728	10881430
Lombardia	817	145	962	19445	20407	291	783926	33686	838019	10915877
Lombardia	754	143	897	18095	18992	322	785653	33696	838341	10959148
Lombardia	721	130	851	18020	18871	352	786120	33702	838693	10994844
Lombardia	660	122	782	17625	18407	270	786849	33707	838963	11030822
Lombardia	633	118	751	17705	18456	255	787042	33720	839218	11067060
Lombardia	628	114	742	17649	18391	257	787358	33726	839475	11093902
Lombardia	596	109	705	17667	18372	102	787476	33729	839577	11105601
Lombardia	590	100	690	17636	18326	182	787696	33737	839759	11137474
Lombardia	534	92	626	16618	17244	256	789029	33742	840015	11172472
Lombardia	496	90	586	16540	17126	232	789375	33746	840247	11210125
Lombardia	427	91	518	13314	13832	114	792781	33748	840361	11245195
Lombardia	402	80	482	13105	13587	183	793206	33751	840544	11288625
Lombardia	408	77	485	13172	13657	145	793279	33753	840689	11317204
Lombardia	391	77	468	13179	13647	83	793368	33757	840772	11327674
Lombardia	389	73	462	12993	13455	126	793685	33758	840898	11354963
Lombardia	350	72	422	12229	12651	131	794617	33761	841029	11387943
Lombardia	321	65	386	12116	12502	155	794917	33765	841184	11420780
Lombardia	269	64	333	11502	11835	115	795826	33772	841433	11490807
Lombardia	258	62	320	11527	11847	119	795931	33774	841552	11517245
Lombardia	250	61	311	10914	11225	46	796598	33775	841598	11526703
Lombardia	248	52	300	10902	11202	98	796716	33778	841696	11556788
Lombardia	164	44	208	8201	8409	51	800231	33786	842426	11736896
Lombardia	158	45	203	8265	8468	129	800296	33791	842555	11767397
Lombardia	127	35	162	8690	8852	230	800453	33795	843100	11863562
Lombardia	121	37	158	8302	8460	205	801047	33798	843305	11898700
Lombardia	124	37	161	7915	8076	250	801680	33799	843555	11925412
Lombardia	128	36	164	7464	7628	95	802222	33800	843650	11934113
Lombardia	131	35	166	7674	7840	241	802249	33802	843891	11963426
Lombardia	143	30	173	8080	8253	399	803034	33804	845091	12065399
Lombardia	135	31	166	7241	7407	369	804682	33809	845898	12131864
Lombardia	138	30	168	7413	7581	208	804715	33810	846106	12143485
Lombardia	142	27	169	7560	7729	691	806737	33815	848281	12282211
Lombardia	153	26	179	7958	8137	574	806903	33815	848855	12322417
Lombardia	150	27	177	8357	8534	461	806966	33816	849316	12350509
Lombardia	151	28	179	8504	8683	177	806993	33817	849493	12359115
Lombardia	208	27	235	10939	11174	522	808491	33827	853492	12577489
Lombardia	210	32	242	11204	11446	326	808545	33827	853818	12588000
Lombardia	237	32	269	11331	11600	586	808974	33830	854404	12624010
Lombardia	247	32	279	11776	12055	806	809321	33834	855210	12663242
Lombardia	254	31	285	12048	12333	793	809835	33835	856003	12698582
Lombardia	248	35	283	12172	12455	664	810376	33836	856667	12738233
Lombardia	259	35	294	12522	12816	756	810770	33837	857423	12785883
Lombardia	276	35	311	13003	13314	637	810908	33838	858060	12821994
Lombardia	275	37	312	13137	13449	200	810972	33839	858260	12832969
Lombardia	283	35	318	13083	13401	525	811541	33843	858785	12872580
Lombardia	294	35	329	13063	13392	768	812316	33845	859553	12909396
Lombardia	292	37	329	13033	13362	679	813023	33847	860232	12942309
Lombardia	299	33	332	12990	13322	661	813719	33852	860893	12977623
Lombardia	317	36	353	12867	13220	676	814493	33856	861569	13017061
Lombardia	308	42	350	12881	13231	333	814814	33857	861902	13026827
Lombardia	311	40	351	12675	13026	138	815154	33860	862040	13032787
Lombardia	320	39	359	12547	12906	374	815646	33862	862414	13065784
Lombardia	319	39	358	12235	12593	671	816623	33869	863085	13107260
Lombardia	309	42	351	12238	12589	627	817251	33872	863712	13140875
Lombardia	314	41	355	11823	12178	504	818163	33875	864216	13175422
Lombardia	319	41	360	11772	12132	540	818746	33878	864756	13213994
Lombardia	311	41	352	11894	12246	406	819036	33880	865162	13243184
Lombardia	320	43	363	11938	12301	200	819181	33880	865362	13253673
Lombardia	329	45	374	11962	12336	518	819657	33887	865880	13295296
Lombardia	340	43	383	11606	11989	605	820604	33892	866485	13334324
Lombardia	339	42	381	11662	12043	758	821302	33898	867243	13372497
Lombardia	352	51	403	10611	11014	647	826742	33929	871685	13691933
Lombardia	352	57	409	10820	11229	577	827102	33931	872262	13740343
Lombardia	365	58	423	11009	11432	404	827301	33933	872666	13795578
Lombardia	375	56	431	10936	11367	177	827540	33936	872843	13808261
Lombardia	416	62	478	11067	11545	220	831029	33956	876530	14140922
Lombardia	435	59	494	10815	11309	628	832316	33968	877593	14250296
Lombardia	437	62	499	10948	11447	472	834822	33992	880261	14542980
Lombardia	417	63	480	10627	11107	450	835608	33996	880711	14597794
Lombardia	412	61	473	10466	10939	443	836216	33999	881154	14651836
Lombardia	414	60	474	10261	10735	488	836903	34004	881642	14705407
Lombardia	401	58	459	10308	10767	478	837341	34012	882120	14771762
Lombardia	389	62	451	10412	10863	136	837671	34026	882560	14841134
Lombardia	393	56	449	10245	10694	345	838179	34032	882905	14904772
Lombardia	384	58	442	9926	10368	438	838938	34037	883343	14959652
Lombardia	372	54	426	9512	9938	381	840138	34049	884125	15071363
Lombardia	365	58	423	9428	9851	361	840585	34050	884486	15137746
Lombardia	359	57	416	9583	9999	328	840761	34054	884814	15194153
Lombardia	347	56	403	9606	10009	106	840851	34060	884920	15209848
Lombardia	358	59	417	9326	9743	288	841398	34067	885208	15271052
Lombardia	351	63	414	8973	9387	449	842201	34069	885657	15325626
Lombardia	339	57	396	8578	8974	284	843472	34083	886529	15496373
Lombardia	333	54	387	8644	9031	278	843691	34085	886807	15553091
Lombardia	325	55	380	8663	9043	87	843761	34090	886894	15568357
Lombardia	333	56	389	8537	8926	306	844181	34093	887200	15630096
Lombardia	315	59	374	8085	8459	307	844950	34098	887507	15683332
Lombardia	300	54	354	7878	8232	273	845440	34108	887780	15749756
Lombardia	297	56	353	7757	8110	288	845846	34112	888068	15855225
Lombardia	287	55	342	7910	8252	432	846136	34112	888500	15961436
Lombardia	289	52	341	8003	8344	297	846339	34114	888797	16050304
Lombardia	288	52	340	8009	8349	112	846441	34119	888909	16083273
Lombardia	283	53	336	8151	8487	412	846708	34126	889321	16229291
Lombardia	280	55	335	7957	8292	457	847356	34130	889778	16329603
Lombardia	276	53	329	7987	8316	383	847714	34131	890161	16457563
Lombardia	274	51	325	7850	8175	381	848232	34135	890542	16555216
Lombardia	281	49	330	7953	8283	390	848512	34137	890932	16658440
Lombardia	276	48	324	8151	8475	393	848709	34141	891325	16752923
Lombardia	280	48	328	8164	8492	119	848810	34142	891444	16785752
Lombardia	301	49	350	8381	8731	498	849066	34145	891942	16935998
Lombardia	312	48	360	8417	8777	513	849533	34145	892455	17032375
Lombardia	300	45	345	8558	8903	570	849974	34148	893025	17162108
Lombardia	297	46	343	8722	9065	510	850318	34152	893535	17259646
Lombardia	302	44	346	8972	9318	574	850636	34155	894109	17358521
Lombardia	293	48	341	9517	9858	213	850962	34162	894982	17517039
Lombardia	317	49	366	9676	10042	682	851450	34172	895664	17660262
Lombardia	336	48	384	10172	10556	840	852499	34194	897249	17880354
Lombardia	332	47	379	10644	11023	823	852851	34198	898072	17976799
Lombardia	338	47	385	11107	11492	715	853094	34201	898787	18073450
Lombardia	348	46	394	11327	11721	294	853159	34201	899081	18108231
Lombardia	379	47	426	11738	12164	849	853561	34205	899930	18252514
Lombardia	402	42	444	12157	12601	1073	854192	34210	901003	18350475
Lombardia	409	45	454	12581	13035	1066	854818	34216	902069	18481284
Lombardia	434	49	483	13078	13561	1103	855389	34222	903172	18580293
Lombardia	441	50	491	14681	15172	1020	856017	34240	905429	18786816
Lombardia	460	50	510	15041	15551	506	856141	34243	905935	18823622
Lombardia	524	51	575	16294	16869	1409	856227	34248	907344	18972628
Lombardia	556	53	609	16921	17530	1858	857411	34261	909202	19079323
Lombardia	584	56	640	17845	18485	1705	858153	34269	910907	19214403
Lombardia	623	57	680	18779	19459	1735	858910	34273	912642	19319460
Lombardia	656	58	714	20144	20858	1930	859436	34278	914572	19437739
Lombardia	686	65	751	21772	22523	662	859851	34291	916665	19585585
Lombardia	736	67	803	22051	22854	1668	861181	34298	918333	19739094
Lombardia	740	74	814	24603	25417	2302	863102	34323	922842	19996555
Lombardia	774	90	864	26880	27744	1926	864889	34344	926977	20238099
Lombardia	789	91	880	28780	29660	2493	865461	34349	929470	20351506
Lombardia	817	99	916	29484	30400	851	865564	34357	930321	20395553
Lombardia	848	103	951	30383	31334	2223	866838	34372	932544	20559513
Lombardia	912	114	1026	34358	35384	2809	870664	34428	940476	20952470
Lombardia	924	121	1045	35949	36994	2990	872025	34447	943466	21089472
Lombardia	955	124	1079	37769	38848	2628	872791	34455	946094	21210935
Lombardia	1108	143	1251	48010	49261	3278	881680	34576	965517	21943290
Lombardia	1135	143	1278	48889	50167	1339	882090	34599	966856	21991705
Lombardia	1185	146	1331	49390	50721	3830	885346	34619	970686	22164167
Lombardia	1189	145	1334	51301	52635	4765	888168	34648	975451	22298928
Lombardia	1185	146	1331	54597	55928	5304	890159	34668	980755	22461656
Lombardia	1193	147	1340	57573	58913	5590	892738	34694	986345	22607901
Lombardia	1225	160	1385	66283	67668	5397	895457	34736	997861	22890535
Lombardia	1257	163	1420	68404	69824	2576	895837	34776	1000437	22947503
Lombardia	1352	164	1516	80314	81830	10569	902654	34814	1019298	23333244
Lombardia	1439	180	1619	118368	119987	4581	915271	34940	1070198	24002302
Lombardia	1539	187	1726	122154	123880	5065	916431	34952	1075263	24046523
Lombardia	1698	193	1891	148300	150191	28795	918887	34980	1104058	24271080
Lombardia	1831	191	2022	176635	178657	32696	923089	35008	1136754	24480765
Lombardia	1831	204	2035	213119	215154	39152	925708	35044	1175906	24709824
Lombardia	1859	221	2080	250300	252380	41458	929903	35081	1217364	24938879
Lombardia	1945	222	2167	282730	284897	37270	934642	35095	1254634	25139075
Lombardia	2052	216	2268	289825	292093	10425	937826	35140	1265059	25183247
Lombardia	2147	219	2366	301496	303862	13421	939459	35159	1278480	25250696
Lombardia	2312	234	2546	341416	343962	50104	949429	35193	1328584	25489686
Lombardia	2420	226	2646	388799	391445	51587	953486	35240	1380171	25704386
Lombardia	2519	229	2748	428821	431569	52693	966009	35286	1432864	25934786
Lombardia	2607	237	2844	473148	475992	48808	988982	35365	1500339	26245988
Lombardia	2999	246	3245	515967	519212	17581	1000102	35464	1554778	26523376
Lombardia	3202	256	3458	540123	543581	45555	1021233	35519	1600333	26788598
Lombardia	3469	262	3731	551973	555704	33856	1123441	35777	1714922	27463252
Lombardia	3503	258	3761	543052	546813	33249	1165504	35854	1748171	27692993
Lombardia	3566	268	3834	554617	558451	26773	1180582	35911	1774944	27879570
Lombardia	3649	267	3916	541537	545453	9883	1203382	35992	1784827	27948303
Lombardia	3704	267	3971	490685	494656	37823	1291938	36056	1822650	28267426
Lombardia	3678	265	3943	495450	499393	37233	1324364	36126	1859883	28494930
Lombardia	3719	271	3990	514817	518807	33676	1338495	36257	1893559	28648073
Lombardia	3503	276	3779	503173	506952	32677	1382906	36378	1926236	28850371
Lombardia	3461	274	3735	479813	483548	31164	1437392	36460	1957400	29064470
Lombardia	3396	267	3663	461552	465215	21700	1477358	36527	1979100	29227148
Lombardia	3416	265	3681	447489	451170	8844	1500160	36614	1987944	29297990
Lombardia	3411	264	3675	422020	425695	28372	1553937	36684	2016316	29551187
Lombardia	3405	259	3664	439839	443503	27808	1563863	36758	2044124	29759226
Lombardia	3264	254	3518	416161	419679	25098	1612662	36881	2069222	29939060
Lombardia	3164	252	3416	403327	406743	21329	1646850	36958	2090551	30114930
Lombardia	3072	254	3326	398766	402092	18555	1669968	37046	2109106	30282144
Lombardia	3004	254	3258	384032	387290	14558	1699266	37108	2123664	30429482
Lombardia	3016	251	3267	368874	372141	5417	1719756	37184	2129081	30489791
Lombardia	3044	235	3279	341553	344832	19389	1766397	37241	2148470	30721009
Lombardia	2970	229	3199	344361	347560	16098	1779717	37291	2164568	30878978
Lombardia	2899	218	3117	317225	320342	14989	1821799	37416	2179557	31024850
Lombardia	2814	216	3030	302131	305161	11340	1848243	37493	2190897	31158633
Lombardia	2656	214	2870	288281	291151	11136	1873313	37569	2202033	31287700
Lombardia	2582	213	2795	272791	275586	8370	1897174	37643	2210403	31394256
Lombardia	2558	207	2765	251608	254373	3116	1921433	37713	2213519	31439021
Lombardia	2519	197	2716	236053	238769	12194	1949181	37763	2225713	31598820
Lombardia	2393	192	2585	233381	235966	9374	1961329	37792	2235087	31704013
Lombardia	2272	182	2454	215465	217919	8395	1987696	37867	2243482	31806976
Lombardia	2161	174	2335	201179	203514	7099	2009140	37927	2250581	31895899
Lombardia	2048	173	2221	189628	191849	6516	2027276	37972	2257097	31979938
Lombardia	1934	170	2104	182517	184621	5247	2039724	37999	2262344	32043801
Lombardia	1913	162	2075	171656	173731	1982	2052519	38076	2264326	32072076
Lombardia	1872	166	2038	161101	163139	7757	2070835	38109	2272083	32179874
Lombardia	1756	162	1918	160364	162282	5964	2077638	38127	2278047	32259246
Lombardia	1649	158	1807	150982	152789	6116	2093196	38178	2284163	32338303
Lombardia	1523	155	1678	146847	148525	5413	2102814	38237	2289576	32409589
Lombardia	1391	156	1547	139675	141222	5231	2115299	38286	2294807	32478904
Lombardia	1329	152	1481	136260	137741	4303	2123054	38315	2299110	32529523
Lombardia	1340	143	1483	134166	135649	1804	2126913	38352	2300914	32553313
Lombardia	1272	137	1409	129418	130827	7146	2138828	38405	2308060	32650440
Lombardia	1201	130	1331	128720	130051	5534	2145120	38423	2313594	32723256
Lombardia	1196	110	1306	123327	124633	5239	2155732	38468	2318833	32799725
Lombardia	1103	98	1201	120732	121933	4408	2167370	38537	2327840	32924319
Lombardia	1059	97	1156	119002	120158	3332	2172434	38580	2331172	32969599
Lombardia	1052	97	1149	117143	118292	1388	2175665	38603	2332560	32989784
Lombardia	1007	97	1104	113222	114326	5746	2185349	38631	2338306	33075444
Lombardia	951	90	1041	113891	114932	4386	2193784	38689	2347405	33208948
Lombardia	894	89	983	110763	111746	4326	2201259	38726	2351731	33264860
Lombardia	821	82	903	109915	110818	3627	2210014	38792	2359624	33364130
Lombardia	821	82	903	109121	110024	1614	2212392	38822	2361238	33384032
Lombardia	821	81	902	110692	111594	6497	2217310	38831	2367735	33466996
Lombardia	783	73	856	111194	112050	5861	2234053	38889	2384992	33659816
Lombardia	762	73	835	114954	115789	4791	2240556	38939	2395284	33764348
Lombardia	786	73	859	115856	116715	2336	2241953	38952	2397620	33786045
Lombardia	829	73	902	118999	119901	9540	2248293	38966	2407160	33877401
Lombardia	809	71	880	123945	124825	8183	2251541	38977	2415343	33950349
Lombardia	844	58	902	126835	127737	8670	2257276	39000	2424013	34028637
Lombardia	858	58	916	130897	131813	8555	2261729	39026	2432568	34096788
Lombardia	880	58	938	135322	136260	8052	2265317	39043	2440620	34163953
Lombardia	874	57	931	137904	138835	6371	2269096	39060	2446991	34214222
Lombardia	904	52	956	138191	139147	2544	2271313	39075	2449535	34236973
Lombardia	934	45	979	140574	141553	11378	2280268	39092	2460913	34332761
Lombardia	965	41	1006	150238	151244	9300	2289034	39141	2479419	34486607
Lombardia	956	43	999	152388	153387	8677	2295547	39162	2488096	34555959
Lombardia	928	44	972	153331	154303	6783	2309919	39189	2503411	34677206
Lombardia	967	47	1014	152572	153586	2718	2313346	39197	2506129	34700702
Lombardia	1010	46	1056	153359	154415	12518	2325014	39218	2518647	34799986
Lombardia	1036	43	1079	159922	161001	9479	2327884	39241	2528126	34874297
Lombardia	1070	42	1112	159444	160556	9053	2346496	39268	2546320	35020943
Lombardia	1081	44	1125	165529	166654	6371	2355504	39315	2561473	35139963
Lombardia	1107	45	1152	164430	165582	2512	2359074	39329	2563985	35164205
Lombardia	1144	35	1179	164854	166033	9094	2379353	39359	2584745	35325573
Lombardia	1101	42	1143	166292	167435	8681	2395936	39423	2602794	35461901
Lombardia	1108	39	1147	163323	164470	8540	2407424	39440	2611334	35527070
Lombardia	1079	43	1122	165855	166977	6611	2411507	39461	2617945	35578843
Lombardia	1104	42	1146	164326	165472	2560	2415559	39474	2620505	35601149
Lombardia	1105	43	1148	161120	162268	11669	2430406	39500	2632174	35691769
Lombardia	1149	40	1189	164069	165258	8723	2436124	39515	2640897	35759292
Lombardia	1125	38	1163	164504	165667	8780	2444470	39540	2649677	35830702
Lombardia	1118	37	1155	160817	161972	8098	2456240	39563	2657775	35888696
Lombardia	1105	36	1141	166941	168082	6229	2464894	39626	2672602	36005306
Lombardia	1116	36	1152	159045	160197	1614	2474365	39654	2674216	36018183
Lombardia	1147	35	1182	157834	159016	2329	2477871	39658	2676545	36040058
Lombardia	1169	38	1207	159190	160397	14065	2490531	39682	2690610	36139081
Lombardia	1196	39	1235	164472	165707	9678	2494869	39712	2700288	36208490
Lombardia	1178	37	1215	158987	160202	8516	2518005	39791	2717998	36334504
Lombardia	1158	39	1197	158879	160076	5972	2524080	39814	2723970	36380383
Lombardia	1171	42	1213	156196	157409	2359	2529088	39832	2726329	36399623
Lombardia	1215	37	1252	155854	157106	2715	2532084	39854	2729044	36422989
Lombardia	1251	35	1286	156050	157336	13110	2544938	39880	2742154	36517667
Lombardia	1261	35	1296	160081	161377	8634	2549522	39889	2750788	36583392
Lombardia	1233	34	1267	155872	157139	7631	2561365	39915	2758419	36642914
Lombardia	1227	33	1260	152205	153465	6973	2571992	39935	2765392	36698599
Lombardia	1183	36	1219	155207	156426	5254	2574240	39980	2770646	36739553
Lombardia	1177	35	1212	149976	151188	1673	2581120	40011	2772319	36752922
Lombardia	1190	36	1226	153300	154526	6471	2593811	40043	2788380	36862657
Lombardia	1179	37	1216	146638	147854	6362	2606823	40065	2794742	36908582
Lombardia	1149	36	1185	145555	146740	5747	2613655	40094	2800489	36949477
Marche	0	0	0	0	0	0	0	0	0	16
Marche	0	0	0	0	0	0	0	0	0	21
Marche	1	0	1	0	1	1	0	0	1	28
Marche	2	1	3	0	3	2	0	0	3	46
Marche	3	2	5	1	6	3	0	0	6	47
Marche	6	2	8	3	11	5	0	0	11	68
Marche	12	5	17	8	25	14	0	0	25	101
Marche	17	6	23	11	34	10	0	1	35	137
Marche	27	13	40	19	59	26	0	2	61	200
Marche	34	15	49	31	80	23	0	4	84	288
Marche	57	19	76	44	120	40	0	4	124	413
Marche	73	20	93	62	155	35	0	4	159	585
Marche	94	36	130	71	201	48	0	6	207	816
Marche	110	41	151	114	265	65	0	7	272	1025
Marche	136	47	183	130	313	51	0	10	323	1250
Marche	152	54	206	175	381	71	0	13	394	1437
Marche	212	66	278	183	461	85	0	18	479	1656
Marche	254	76	330	240	570	113	0	22	592	1907
Marche	337	85	422	276	698	133	0	27	725	2218
Marche	449	93	542	321	863	174	0	36	899	2561
Marche	521	98	619	468	1087	234	0	46	1133	2946
Marche	528	110	638	547	1185	109	0	57	1242	3225
Marche	599	109	708	594	1302	129	0	69	1371	3225
Marche	638	119	757	719	1476	197	0	92	1568	4109
Marche	656	141	797	825	1622	169	0	115	1737	4512
Marche	704	138	842	1002	1844	244	0	137	1981	5170
Marche	742	141	883	1114	1997	172	2	154	2153	5740
Marche	816	138	954	1277	2231	268	6	184	2421	6391
Marche	882	148	1030	1328	2358	148	8	203	2569	6782
Marche	862	149	1011	1486	2497	167	8	231	2736	7229
Marche	938	148	1086	1553	2639	198	8	287	2934	7896
Marche	977	166	1143	1652	2795	180	9	310	3114	8623
Marche	979	162	1141	1709	2850	82	10	336	3196	9060
Marche	987	166	1153	1846	2999	177	10	364	3373	9884
Marche	1000	168	1168	1992	3160	185	12	386	3558	10431
Marche	998	167	1165	2086	3251	126	16	417	3684	10979
Marche	946	169	1115	2237	3352	141	21	452	3825	11724
Marche	984	168	1152	2304	3456	137	29	477	3962	12296
Marche	986	164	1150	2405	3555	136	40	503	4098	12943
Marche	982	158	1140	2491	3631	132	42	557	4230	13678
Marche	997	153	1150	2347	3497	111	270	574	4341	14472
Marche	987	151	1138	2440	3578	123	287	599	4464	15252
Marche	1001	140	1141	2565	3706	150	296	612	4614	15919
Marche	962	139	1101	2637	3738	96	342	630	4710	16619
Marche	974	133	1107	2455	3562	149	645	652	4859	17532
Marche	945	133	1078	2323	3401	96	885	669	4955	18194
Marche	925	127	1052	2264	3316	129	1086	682	5084	18970
Marche	960	118	1078	2153	3231	127	1291	689	5211	20060
