denominazione_regione	hs	ic	th	hi	tcp	ncp	dh	d	tc	sw
Abruzzo	89	4	93	539	632	0	2215	418	3265	83715
Abruzzo	91	4	95	472	567	1	2248	451	3266	84700
Abruzzo	83	5	88	462	550	0	2263	453	3266	86082
Abruzzo	81	5	86	453	539	1	2275	453	3267	87566
Abruzzo	76	4	80	448	528	4	2290	453	3271	88739
Abruzzo	72	4	76	433	509	4	2312	454	3275	90340
Abruzzo	71	4	75	436	511	4	2312	456	3279	91445
Abruzzo	71	3	74	412	486	0	2337	456	3279	91700
Abruzzo	67	3	70	398	468	1	2355	457	3280	92874
Abruzzo	61	2	63	375	438	2	2386	457	3281	94391
Abruzzo	58	2	60	374	434	2	2389	458	3281	95546
Abruzzo	53	1	54	353	407	1	2414	459	3280	96581
Abruzzo	49	3	52	352	404	1	2418	459	3281	97625
Abruzzo	50	3	53	350	403	0	2419	459	3281	98708
Abruzzo	49	3	52	342	394	1	2428	460	3282	98872
Abruzzo	46	3	49	342	391	0	2431	460	3282	99976
Abruzzo	41	2	43	335	378	1	2444	461	3283	100918
Abruzzo	32	2	34	337	371	1	2452	461	3284	101814
Abruzzo	30	2	32	326	358	1	2466	461	3285	102606
Abruzzo	31	2	33	304	337	0	2487	461	3285	103771
Abruzzo	28	2	30	254	284	1	2540	462	3286	104558
Abruzzo	28	2	30	252	282	1	2543	462	3287	104822
Abruzzo	33	0	33	164	197	0	2626	464	3287	105653
Abruzzo	32	0	32	138	170	2	2655	464	3289	106350
Abruzzo	28	0	28	132	160	3	2668	464	3292	107535
Abruzzo	27	0	27	129	156	6	2678	464	3298	108363
Abruzzo	28	0	28	131	159	7	2682	464	3305	109379
Abruzzo	30	0	30	133	163	4	2682	464	3309	110052
Abruzzo	30	0	30	126	156	0	2689	464	3309	110126
Abruzzo	28	0	28	125	153	0	2692	464	3309	110863
Abruzzo	27	0	27	118	145	1	2701	464	3310	111752
Abruzzo	26	0	26	121	147	8	2707	464	3318	112505
Abruzzo	26	0	26	122	148	3	2709	464	3321	113388
Abruzzo	25	0	25	122	147	2	2712	464	3323	114219
Abruzzo	22	0	22	128	150	5	2713	465	3328	115119
Abruzzo	19	0	19	124	143	0	2719	466	3328	115176
Abruzzo	19	0	19	102	121	0	2740	467	3328	115444
Abruzzo	17	0	17	107	124	3	2740	467	3331	116253
Abruzzo	17	0	17	103	120	2	2745	468	3333	117027
Abruzzo	17	0	17	102	119	1	2747	468	3334	117780
Abruzzo	15	0	15	102	117	1	2750	468	3335	118745
Abruzzo	14	0	14	103	117	1	2751	468	3336	119504
Abruzzo	13	0	13	108	121	6	2753	468	3342	119651
Abruzzo	12	0	12	104	116	2	2758	470	3344	120227
Abruzzo	8	1	9	100	109	0	2763	470	3342	120967
Abruzzo	8	2	10	105	115	10	2767	470	3352	122303
Abruzzo	11	2	13	100	113	4	2773	470	3356	123200
Abruzzo	11	2	13	99	112	3	2777	470	3359	123996
Abruzzo	13	2	15	97	112	1	2777	470	3359	127354
Abruzzo	13	1	14	100	114	9	2783	471	3368	125155
Abruzzo	14	1	15	92	107	1	2790	472	3369	125542
Abruzzo	14	1	15	94	109	4	2792	472	3373	126445
Abruzzo	14	1	15	91	106	4	2799	472	3377	127417
Abruzzo	13	1	14	97	111	5	2799	472	3382	128483
Abruzzo	13	1	14	101	115	5	2800	472	3387	129601
Abruzzo	16	1	17	99	116	2	2801	472	3389	130753
Abruzzo	16	1	17	107	124	9	2802	472	3398	130877
Abruzzo	18	1	19	106	125	3	2804	472	3401	131432
Abruzzo	19	1	20	120	140	19	2808	472	3420	132316
Abruzzo	20	1	21	132	153	15	2810	472	3435	133345
Abruzzo	22	1	23	167	190	39	2812	472	3474	134268
Abruzzo	24	1	25	172	197	12	2817	472	3486	134980
Abruzzo	23	1	24	189	213	16	2817	472	3502	136214
Abruzzo	24	1	25	194	219	7	2818	472	3509	136365
Abruzzo	23	1	24	195	219	3	2821	472	3512	136795
Abruzzo	23	1	24	197	221	9	2823	472	3516	137776
Abruzzo	24	1	25	209	234	16	2826	472	3532	138681
Abruzzo	23	1	24	218	242	13	2831	472	3545	139426
Abruzzo	25	1	26	226	252	13	2834	472	3558	140692
Abruzzo	25	1	26	228	254	2	2834	472	3560	140925
Abruzzo	27	1	28	227	255	5	2838	472	3565	141205
Abruzzo	27	1	28	230	258	5	2840	472	3570	141741
Abruzzo	25	2	27	238	265	7	2840	472	3577	143041
Abruzzo	27	1	28	240	268	4	2841	472	3581	144159
Abruzzo	30	1	31	258	289	23	2843	472	3604	145369
Abruzzo	32	1	33	280	313	24	2843	472	3628	146579
Abruzzo	31	1	32	300	332	21	2844	472	3648	147963
Abruzzo	34	1	35	301	336	4	2844	472	3652	148149
Abruzzo	33	1	34	308	342	10	2848	472	3662	148901
Abruzzo	34	1	35	331	366	26	2849	472	3687	150149
Abruzzo	37	1	38	343	381	18	2852	472	3705	151723
Abruzzo	39	1	40	343	383	20	2870	472	3725	153133
Abruzzo	37	1	38	357	395	14	2872	472	3739	154590
Abruzzo	37	1	38	391	429	34	2872	472	3773	156774
Abruzzo	35	1	36	391	427	4	2878	472	3777	157035
Abruzzo	29	1	30	376	406	5	2902	472	3780	157881
Abruzzo	30	1	31	399	430	24	2902	472	3804	159429
Abruzzo	33	1	34	420	454	24	2902	472	3828	160980
Abruzzo	32	1	33	438	471	25	2910	472	3853	162483
Abruzzo	32	2	34	449	483	13	2910	472	3865	164140
Abruzzo	32	2	34	475	509	26	2910	472	3891	165666
Abruzzo	31	2	33	487	520	15	2914	472	3906	166611
Abruzzo	34	2	36	487	523	14	2924	472	3919	167478
Abruzzo	35	2	37	469	506	5	2943	472	3921	169023
Abruzzo	35	3	38	474	512	11	2948	472	3932	170623
Abruzzo	36	4	40	501	541	35	2954	472	3967	172308
Abruzzo	37	3	40	504	544	11	2962	472	3978	173892
Abruzzo	41	3	44	535	579	37	2964	472	4015	175854
Abruzzo	41	4	45	532	577	1	2966	473	4016	175960
Abruzzo	42	4	46	545	591	18	2970	473	4034	176979
Abruzzo	42	5	47	559	606	18	2973	473	4052	178556
Abruzzo	45	5	50	582	632	33	2978	473	4083	180302
Abruzzo	48	5	53	626	679	54	2984	474	4137	182106
Abruzzo	48	5	53	626	679	0	2984	474	4137	182106
Abruzzo	48	5	53	626	679	0	2984	474	4137	182106
Abruzzo	58	5	63	676	739	72	2995	475	4209	186082
Abruzzo	54	5	59	683	742	18	3010	475	4227	187204
Abruzzo	55	4	59	701	760	22	3012	477	4249	189052
Abruzzo	50	4	54	716	770	17	3019	477	4266	190927
Abruzzo	58	5	63	754	817	51	3023	477	4317	192553
Abruzzo	54	5	59	762	821	16	3035	477	4333	194249
Abruzzo	50	5	55	807	862	47	3040	478	4380	196437
Abruzzo	54	4	58	799	857	4	3048	479	4384	196626
Abruzzo	52	4	56	809	865	14	3051	481	4397	197714
Abruzzo	52	5	57	824	881	23	3057	481	4419	199492
Abruzzo	52	5	57	852	909	30	3059	481	4449	201484
Abruzzo	58	6	64	874	938	49	3079	481	4498	203892
Abruzzo	66	6	72	890	962	42	3097	481	4540	205994
Abruzzo	70	6	76	919	995	37	3101	481	4577	208336
Abruzzo	72	7	79	938	1017	30	3108	482	4607	209580
Abruzzo	81	6	87	971	1058	48	3113	484	4655	211128
Abruzzo	88	6	94	1004	1098	61	3132	485	4715	213635
Abruzzo	90	7	97	1055	1152	68	3145	486	4783	215967
Abruzzo	100	7	107	1142	1249	103	3150	487	4886	218754
Abruzzo	110	7	117	1224	1341	94	3152	487	4980	221142
Abruzzo	116	8	124	1293	1417	77	3153	487	5057	223420
Abruzzo	137	11	148	1384	1532	117	3154	488	5174	225647
Abruzzo	146	15	161	1518	1679	146	3153	488	5320	228524
Abruzzo	154	15	169	1632	1801	126	3156	489	5446	231053
Abruzzo	159	10	169	1824	1993	203	3164	491	5648	234275
Abruzzo	167	11	178	1972	2150	178	3184	491	5825	237943
Abruzzo	169	13	182	2112	2294	148	3186	493	5973	241046
Abruzzo	170	13	183	2330	2513	221	3187	494	6194	244761
Abruzzo	197	13	210	2459	2669	159	3190	494	6353	246937
Abruzzo	210	15	225	2620	2845	184	3194	495	6534	250052
Abruzzo	212	14	226	2865	3091	252	3195	500	6786	253175
Abruzzo	208	16	224	3152	3376	306	3214	501	7091	256324
Abruzzo	228	16	244	3285	3529	234	3293	503	7325	259623
Abruzzo	228	18	246	3496	3742	375	3455	503	7700	263485
Abruzzo	245	18	263	3822	4085	368	3469	514	8068	266853
Abruzzo	249	21	270	4083	4353	348	3537	524	8414	270057
Abruzzo	284	22	306	4303	4609	345	3618	532	8759	272901
Abruzzo	306	26	332	4697	5029	434	3630	534	9193	276681
Abruzzo	331	26	357	5087	5444	482	3690	540	9674	280591
Abruzzo	355	27	382	5414	5796	428	3764	542	10102	283894
Abruzzo	371	29	400	5803	6203	450	3799	550	10552	287781
Abruzzo	391	32	423	6210	6633	489	3854	554	11041	291057
Abruzzo	401	33	434	6657	7091	478	3872	556	11519	294594
Abruzzo	429	38	467	7180	7647	601	3909	564	12120	298279
Abruzzo	427	36	463	7569	8032	423	3943	568	12543	301822
Abruzzo	458	36	494	7770	8264	571	4273	577	13114	305438
Abruzzo	468	42	510	8071	8581	395	4340	584	13505	308505
Abruzzo	484	43	527	8368	8895	432	4445	596	13936	311779
Abruzzo	484	43	527	8804	9331	584	4592	596	14519	315128
Abruzzo	513	48	561	9311	9872	625	4669	602	15143	319079
Abruzzo	530	46	576	9852	10428	746	4832	628	15888	323845
Abruzzo	546	51	597	10353	10950	662	4956	644	16550	328068
Abruzzo	547	52	599	10817	11416	541	5029	646	17091	330704
Abruzzo	567	57	624	11284	11908	683	5205	661	17774	335473
Abruzzo	545	59	604	12018	12622	939	5420	671	18713	340656
Abruzzo	565	59	624	12410	13034	470	5469	679	19182	344353
Abruzzo	571	59	630	12869	13499	642	5634	690	19823	347929
Abruzzo	590	66	656	13352	14008	729	5841	703	20552	352882
Abruzzo	621	65	686	13704	14390	641	6091	712	21193	357482
Abruzzo	658	74	732	14130	14862	649	6259	721	21842	362295
Abruzzo	661	75	736	14642	15378	705	6430	739	22547	366943
Abruzzo	676	73	749	14848	15597	541	6717	774	23088	371339
Abruzzo	664	72	736	15395	16131	560	6731	786	23648	375917
Abruzzo	672	71	743	15606	16349	640	7135	804	24288	380408
Abruzzo	672	71	743	15913	16656	536	7344	822	24822	385071
Abruzzo	676	72	748	16284	17032	623	7582	831	25445	389766
Abruzzo	694	74	768	16566	17334	570	7830	851	26015	394751
Abruzzo	689	74	763	16797	17560	510	8097	868	26525	398946
Abruzzo	680	77	757	17005	17762	532	8415	879	27056	403356
Abruzzo	659	75	734	17306	18040	413	8543	886	27469	407501
Abruzzo	714	76	790	17402	18192	556	8939	893	28024	411685
Abruzzo	697	76	773	17415	18188	396	9326	906	28420	415586
Abruzzo	703	74	777	17207	17984	381	9890	927	28801	419970
Abruzzo	698	76	774	17054	17828	395	10428	940	29196	424370
Abruzzo	700	73	773	17019	17792	408	10857	955	29604	428610
Abruzzo	675	73	748	16499	17247	376	11764	969	29980	433771
Abruzzo	667	71	738	16350	17088	294	12206	980	30274	438472
Abruzzo	678	73	751	15890	16641	124	12768	989	30398	440108
Abruzzo	658	69	727	15722	16449	312	13267	994	30710	444065
Abruzzo	666	64	730	15591	16321	264	13650	1003	30974	446996
Abruzzo	657	65	722	15269	15991	227	14197	1013	31201	449788
Abruzzo	647	66	713	14786	15499	262	14947	1017	31463	453936
Abruzzo	631	64	695	14449	15144	277	15567	1029	31740	458795
Abruzzo	622	63	685	14624	15309	344	15737	1038	32084	463653
Abruzzo	630	64	694	14188	14882	192	16336	1057	32275	465419
Abruzzo	601	59	660	13807	14467	100	16836	1072	32375	467336
Abruzzo	599	56	655	13331	13986	257	17560	1084	32630	471645
Abruzzo	584	49	633	12792	13425	246	18347	1102	32874	476211
Abruzzo	559	42	601	12574	13175	227	18815	1111	33101	480066
Abruzzo	565	43	608	12332	12940	156	19195	1120	33255	484055
Abruzzo	557	42	599	12441	13040	216	19307	1124	33471	488123
Abruzzo	555	43	598	12068	12666	64	19739	1129	33534	489572
Abruzzo	534	41	575	11673	12248	86	20235	1137	33620	491911
Abruzzo	506	39	545	11474	12019	255	20705	1151	33875	496034
Abruzzo	491	35	526	11168	11694	223	21248	1156	34098	501153
Abruzzo	435	34	469	11398	11867	339	21408	1162	34437	505462
Abruzzo	429	36	465	11420	11885	34	21419	1167	34471	505748
Abruzzo	443	36	479	11337	11816	25	21507	1173	34496	506082
Abruzzo	458	38	496	11049	11545	41	21812	1176	34533	506661
Abruzzo	451	38	489	10783	11272	47	22123	1185	34580	508059
